Name	SMARTS	Reject	Accept
Quinones	[#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])		['[#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])']
Alkyl halide	[*!$([a])&!$(C=C)&!$(C#C)][CX4][F,Cl,Br,I]		['[*!$([a])&!$(C=C)&!$(C#C)][CX4][F,Cl,Br,I]']
Alkyl halides with only C, H and halogen atom	NOT [!#6!#1!F!Cl!Br!I] AND [F,Cl,Br,I][CX4][*&!$(C=C)&!$(C#C)&!$([a])]	['[!#6!#1!F!Cl!Br!I]']	['[F,Cl,Br,I][CX4][*&!$(C=C)&!$(C#C)&!$([a])]']
Aryl halide	[a!R0][F,Cl,Br,I]		['[a!R0][F,Cl,Br,I]']
Halogenated allylic group	[F,Cl,Br,I][CX4][CX3]=[CX3]		['[F,Cl,Br,I][CX4][CX3]=[CX3]']
Halogenated benzylic group	c[CX4][F,Cl,Br,I]		['c[CX4][F,Cl,Br,I]']
Halogenated nitroaromatics	[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]		['[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]']
Diazo compounds	[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]		['[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]']
Organo metallic compounds	[$([Cu][#6]),$([Ag][#6]),$([Au][#6]),$([Zn][#6]),$([Cd][#6]),$([Hg][#6]),$([Sn][#6]),$([Pb][#6]),$([As][#6]),$([Sb][#6])]		['[$([Cu][#6]),$([Ag][#6]),$([Au][#6]),$([Zn][#6]),$([Cd][#6]),$([Hg][#6]),$([Sn][#6]),$([Pb][#6]),$([As][#6]),$([Sb][#6])]']
Ammonium compounds	[NX4+]([CX4])([CX4])([CX4])([CX4])		['[NX4+]([CX4])([CX4])([CX4])([CX4])']
Sulfonium compounds	[SX3+]([CX4])([CX4])([CX4])		['[SX3+]([CX4])([CX4])([CX4])']
Iodine	II		['II']
Hydrogen peroxide	[#1][OX2][OX2][#1]		['[#1][OX2][OX2][#1]']
Sulfoxides	[Sv4X3](=[OX1])		['[Sv4X3](=[OX1])']
Sulfenyl iodides	[SX2][IX1]		['[SX2][IX1]']
Disulfides	[SX2][SX2]		['[SX2][SX2]']
Sulfoxides of aliphatic disulfides	[SX2][Sv4X3](=[OX1])		['[SX2][Sv4X3](=[OX1])']
Thiosulfonates	[SX2][Sv6X4](=[OX1])(=[OX1])		['[SX2][Sv6X4](=[OX1])(=[OX1])']
Carboxy disulfides	[SX2][SX2][CX3](=[OX1])[OX2]		['[SX2][SX2][CX3](=[OX1])[OX2]']
Arsenic (III) compounds	[OX1]=[AsX2]		['[OX1]=[AsX2]']
Thiocyanates	[SX2][CX2]#[NX1]		['[SX2][CX2]#[NX1]']
Sulfenyl halides	[F,Cl,Br,I][SX2]		['[F,Cl,Br,I][SX2]']
Aliphatic halide	NOT [!#6!#1!F!Cl!Br] AND [F,Cl,Br][C!R][C&!$(C(=,#C)[C!R][F,Cl,Br])]	['[!#6!#1!F!Cl!Br]']	['[F,Cl,Br][C!R][C&!$(C(=,#C)[C!R][F,Cl,Br])]']
Hydrocarbons	NOT [!#1!#6]	['[!#1!#6]']	
Halogen substituted mono- and polycyclic hydrocarbons	NOT [!#6!#1!F!Cl!Br] AND [CX4!R0][F,Cl,Br] AND NOT [CX4!R0]([F,Cl,Br])[C!R0]=,#[C!R0] AND NOT [CX4]([F,Cl,Br])a	['[!#6!#1!F!Cl!Br]', '[CX4!R0]([F,Cl,Br])[C!R0]=,#[C!R0]', '[CX4]([F,Cl,Br])a']	['[CX4!R0][F,Cl,Br]']
