Name	SMARTS	Reject	Accept
Formaldehyde donors	[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]		['[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]']
Precursors of aldehydes and ketones	[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]		['[CX4]([OX2])([OX2])([CX4,a!R0])[CX4,a!R0]']
Enol precursor of aldehydes and ketones	[CX3]=[CX3]([#6,#1])[OX2]		['[CX3]=[CX3]([#6,#1])[OX2]']
Aromatic primary and secondary amines	[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]		['[a!R0][$([NX3H2]),$([NX3H1][CX4,a!R0])]']
N-Haloimides	[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])		['[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])']
N-Chloro-sulfonamides	[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl		['[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl']
Disullides	[CX4,a!r0][SX2][SX2][CX4,a!r0]		['[CX4,a!R0][SX2][SX2][CX4,a!R0]']
Phenyl carbonates	c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]		['c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!R0]']
Epoxides	[CX4]1[CX4][OX2]1		['[CX4]1[CX4][OX2]1']
1.2-Dicarbonyls	[CX4,a!r0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!r0]		['[CX4,a!R0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!R0]']
