Name	SMARTS	Reject	Accept
	[$(c1([OH,$(O[CH3])])c[cH]c([OH,$(O[CH3])])cc1),$(c1([OH,$(O[CH3])])c([OH,$(O[CH3])])cc[cH]c1)]		['[$(c1([OH,$(O[CH3])])c[cH]c([OH,$(O[CH3])])cc1),$(c1([OH,$(O[CH3])])c([OH,$(O[CH3])])cc[cH]c1)]']
	[$(c1([OH])ccc([CH3,$([CH2][CX4])])cc1),$(c1([OH])c([CH3,$([CH2][CX4])])cccc1)]		['[$(c1([OH])ccc([CH3,$([CH2][CX4])])cc1),$(c1([OH])c([CH3,$([CH2][CX4])])cccc1)]']
	[cH]1ccc(OCO2)c2c1		['[cH]1ccc(OCO2)c2c1']
	[cH,$(c(c)(c)[CX4])]1[cH][cH][cH,$(c(c)(c)[CX4])][cH][cH,$(c(c)(c)[CX4])]1		['[cH,$(c(c)(c)[CX4])]1[cH][cH][cH,$(c(c)(c)[CX4])][cH][cH,$(c(c)(c)[CX4])]1']
	[cH]1c[cH]c2cc3ccccc3cc2[cH]1		['[cH]1c[cH]c2cc3ccccc3cc2[cH]1']
	[cH]1cc([OH,$(O[CH3])])cc2ccnc12		['[cH]1cc([OH,$(O[CH3])])cc2ccnc12']
	[CH3]c1c[nH]c2ccccc12		['[CH3]c1c[nH]c2ccccc12']
	[cH]1[cH,$(c(c)(o)C)]o[cH,$(c(c)(o)C)][cH,$(c(c)(c)C)]1		['[cH]1[cH,$(c(c)(o)C)]o[cH,$(c(c)(o)C)][cH,$(c(c)(c)C)]1']
	[cH]1[cH,$(c(c)(o)C)]s[cH,$(c(c)(o)C)][cH,$(c(c)(c)C)]1		['[cH]1[cH,$(c(c)(o)C)]s[cH,$(c(c)(o)C)][cH,$(c(c)(c)C)]1']
	[CH,$(C(=O)[#6])](=O)[F,Cl,Br,I]		['[CH,$(C(=O)[#6])](=O)[F,Cl,Br,I]']
	[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)[F,Cl,Br,I]		['[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]C(=O)[F,Cl,Br,I]']
	[NH,$(N(=C=O)[#6])]=C=O		['[NH,$(N(=C=O)[#6])]=C=O']
	[NH,$(N(=C=[SX1])[#6])]=C=[SX1]		['[NH,$(N(=C=[SX1])[#6])]=C=[SX1]']
	C1C(=O)[NH]C(=O)S1		['C1C(=O)[NH]C(=O)S1']
	[NH2,$([NH]([CH]=O)[#6]),$(N([CH]=O)([#6])[#6])][CH](=O)		['[NH2,$([NH]([CH]=O)[#6]),$(N([CH]=O)([#6])[#6])][CH](=O)']
	[#6]S(=O)(=O)[NH]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]		['[#6]S(=O)(=O)[NH]C(=O)[NH2,$([NH](C=O)[#6]),$(N(C=O)([#6])[#6])]']
	c[NH]C(=O)[NH]c		['c[NH]C(=O)[NH]c']
	c1ccccc1[CX4][NH2]		['c1ccccc1[CX4][NH2]']
	[CX4][CH]([F,Cl,Br,I])[F,Cl,Br,I]		['[CX4][CH]([F,Cl,Br,I])[F,Cl,Br,I]']
	[cH,$(c(c)(c)C)]1[cH,$(c(c)(c)C)]s[cH][cH]1		['[cH,$(c(c)(c)C)]1[cH,$(c(c)(c)C)]s[cH][cH]1']
	[cH]1[cH]c(=O)oc2ccccc12		['[cH]1[cH]c(=O)oc2ccccc12']
	[NX3,SX2][CH2,$([CH]([NX3,SX2])([CX4])[CX4])][CH2,$([CH]([CX4])([Cl,Br,I])[CX4])][Cl,Br,I]		['[NX3,SX2][CH2,$([CH]([NX3,SX2])([CX4])[CX4])][CH2,$([CH]([CX4])([Cl,Br,I])[CX4])][Cl,Br,I]']
	[Cl,Br,I][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][Cl,Br,I]		['[Cl,Br,I][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][CH2,$([CH]([Cl,Br,I])([CX4])[CX4])][Cl,Br,I]']
	[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]O[NX2]=O		['[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]O[NX2]=O']
	[CH3,$([CH2]([NX3])[CX4]),$([CH]([NX3])([CX4])[CX4])][NX3]([CH3])C(=[O,SX2])[O,SX2][CX4]		['[CH3,$([CH2]([NX3])[CX4]),$([CH]([NX3])([CX4])[CX4])][NX3]([CH3])C(=[O,SX2])[O,SX2][CX4]']
	[CH3,$([CH2]([F,Cl,Br,I])[#6]),$([CH]([F,Br,Cl,I])([#6])[#6]);!$([CH2,CH]C=O);!$([CH2,CH][CX4][NX3,SX2]);!$([CH2,CH][CX4][F,Cl,Br,I])][F,Cl,Br,I]		['[CH3,$([CH2]([F,Cl,Br,I])[#6]),$([CH]([F,Br,Cl,I])([#6])[#6]);!$([CH2,CH]C=O);!$([CH2,CH][CX4][NX3,SX2]);!$([CH2,CH][CX4][F,Cl,Br,I])][F,Cl,Br,I]']
	[#6]S(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]		['[#6]S(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]']
	[#6]OS(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]		['[#6]OS(=O)(=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]']
	[#6][O,SX2]P(=[O,SX1])([O,SX2][#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]		['[#6][O,SX2]P(=[O,SX1])([O,SX2][#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]']
	[#6][O,SX2]P(=[O,SX1])([#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]		['[#6][O,SX2]P(=[O,SX1])([#6])[O,SX2][CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]']
	[#6][PX4](=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]		['[#6][PX4](=O)O[CH3,$([CH2](O)[#6]),$([CH](O)([#6])[#6])]']
	C1CC(=O)O1		['C1CC(=O)O1']
	[$(C1OS(=O)(=O)CC1),$(C1OS(=O)(=O)CCC1)]		['[$(C1OS(=O)(=O)CC1),$(C1OS(=O)(=O)CCC1)]']
	[CX4][NX3]([#6])[NX2]=O		['[CX4][NX3]([#6])[NX2]=O']
	C1OC1		['C1OC1']
	C1[NX3]C1		['C1[NX3]C1']
	C1[SX2]C1		['C1[SX2]C1']
	[CH2,$([CH](=[CH])[#6,F,Cl,Br,I])]=[CH][F,Cl,Br,I,$(O(C=C)[a])]		['[CH2,$([CH](=[CH])[#6,F,Cl,Br,I])]=[CH][F,Cl,Br,I,$(O(C=C)[a])]']
	[a]C(=O)N(O[#6])OC(=O)[#6]		['[a]C(=O)N(O[#6])OC(=O)[#6]']
	[#6][NH]C(=S)[NH][#6]		['[#6][NH]C(=S)[NH][#6]']
