Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Halogenated allylic group	X = F, Cl, Br, I	[F,Cl,Br,I][CX4][CX3]=[CX3]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA637		['[F,Cl,Br,I][CX4][CX3]=[CX3]']
Halogenated benzylic group	Ar = aromatic carbon; X = F, Cl, Br, I	c[CX4][F,Cl,Br,I]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA638		['c[CX4][F,Cl,Br,I]']
Halogenated nitroaromatics	X = F, Cl, Br, I	[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA639		['[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]']
Diazo compounds	SMARTS: 	[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA640		['[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]']
Organo metallic compounds	SMARTS: 	[$([Cu][#6]),$([Ag][#6]),$([Au][#6]),$([Zn][#6]),$([Cd][#6]),$([Hg][#6]),$([Sn][#6]),$([Pb][#6]),$([As][#6]),$([Sb][#6])]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA641		['[$([Cu][#6]),$([Ag][#6]),$([Au][#6]),$([Zn][#6]),$([Cd][#6]),$([Hg][#6]),$([Sn][#6]),$([Pb][#6]),$([As][#6]),$([Sb][#6])]']
Ammonium compounds	R = any carbon atom	[NX4+]([CX4])([CX4])([CX4])([CX4])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA642		['[NX4+]([CX4])([CX4])([CX4])([CX4])']
Sulfonium compounds	R = any carbon atom	[SX3+]([CX4])([CX4])([CX4])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA643		['[SX3+]([CX4])([CX4])([CX4])']
Iodine	SMARTS: 	II	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA644		['II']
Hydrogen peroxide	SMARTS: 	[#1][OX2][OX2][#1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA645		['[#1][OX2][OX2][#1]']
Sulfoxides	R = any atom	[Sv4X3](=[OX1])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA646		['[Sv4X3](=[OX1])']
Sulfenyl iodides	R = any atom/ group	[SX2][IX1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA647		['[SX2][IX1]']
Disulfides	R = any atom/ group	[SX2][SX2]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA648		['[SX2][SX2]']
Sulfoxides of aliphatic disulfides	R = any atom/ group	[SX2][Sv4X3](=[OX1])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA649		['[SX2][Sv4X3](=[OX1])']
Thiosulfonates	R, R1 = any atom/ group	[SX2][Sv6X4](=[OX1])(=[OX1])	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA650		['[SX2][Sv6X4](=[OX1])(=[OX1])']
Carboxy disulfides	R = any atom/ group	[SX2][SX2][CX3](=[OX1])[OX2]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA651		['[SX2][SX2][CX3](=[OX1])[OX2]']
Arsenic (III) compounds	R = any atom/ group	[OX1]=[AsX2]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA652		['[OX1]=[AsX2]']
Thiocyanates	R = any atom/ group	[SX2][CX2]#[NX1]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA653		['[SX2][CX2]#[NX1]']
Sulfenyl halides	R = any atom/ group; X = F, Cl, Br, I	[F,Cl,Br,I][SX2]	Hermens, JL, 	Electrophiles and acute toxicity to fish.	TA654		['[F,Cl,Br,I][SX2]']
Aliphatic halide	R = (halogen substituted) hydrocarbon chain; X = F, Cl, Br; compounds containing halogen atom at β-positions from unsaturations are exluded	NOT [!#6!#1!F!Cl!Br] AND [F,Cl,Br][C!R][C&!$(C(=,#C)[C!R][F,Cl,Br])]	Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., 	CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY	TA655	['[!#6!#1!F!Cl!Br]']	['[F,Cl,Br][C!R][C&!$(C(=,#C)[C!R][F,Cl,Br])]']
Hydrocarbons	Molecules containing only C and H atoms	NOT [!#1!#6]	Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., 	CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY	TA656	['[!#1!#6]']	
Halogen substituted mono- and polycyclic hydrocarbons	X = F, Cl, Br	NOT [!#6!#1!F!Cl!Br] AND [CX4!R0][F,Cl,Br] AND NOT [CX4!R0]([F,Cl,Br])[C!R0]=,#[C!R0] AND NOT [CX4]([F,Cl,Br])a	Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., 	CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY	TA657	['[!#6!#1!F!Cl!Br]', '[CX4!R0]([F,Cl,Br])[C!R0]=,#[C!R0]', '[CX4]([F,Cl,Br])a']	['[CX4!R0][F,Cl,Br]']
Ethers	R = alkyl carbon atom; linear ethers or monocyclic mono-ethers, but not epoxides or peroxides	 NOT [!#6!#1!#8] AND [$([CX4!R][OX2;!$(O(C1)C1);!$([OX2][OX2])][CX4!R]),$([CX4]1[OX2][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4][CX4][CX4]1)]	Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., 	CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY	TA658	['[!#6!#1!#8]']	['[$([CX4!R][OX2;!$(O(C1)C1);!$([OX2][OX2])][CX4!R]),$([CX4]1[OX2][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4][CX4]1),$([CX4]1[OX2][CX4][CX4][CX4][CX4][CX4]1)]']
Aliphatic alcohols	R = alkyl carbon atom; compounds containing hydroxy group at β-positions from unsaturations are exluded	NOT [!#6!#1!#8] AND [OX2H1][CX4][C!$(C(=,#C)[CX4][OX2H1])]	Verhaar,H.J.M., Leeuwen, C.J., Hermens, J.L.M., 	CLASSIFYING ENVIRONMENTAL POLLUTANTS. 1: STRUCTURE-ACTIVITY RELATIONSHIPS FOR PREDICTION OF AQUATIC TOXICITY	TA659	['[!#6!#1!#8]']	['[OX2H1][CX4][C!$(C(=,#C)[CX4][OX2H1])]']
