Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
sulf_D2_oxygen_D2	Linkage = 'HIGH' (PRI = 1.41, PSI = 4.92)	[S;D2][O;D2]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1788		['[S;D2][O;D2]']
acyl_activated_NO	Linkage = 'HIGH' (PRI = 1.44, PSI = 3.16)	O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1789		['O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]']
azo_filter2	Linkage = 'HIGH' (PRI = 1.45, PSI = 4.49)	[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1790		['[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)]']
para_hydroquinone	Linkage = 'HIGH' (PRI = 1.45, PSI = 6.18)	a1[cH1]c([O,S;D1])[cH1]ac([O,S;D1])1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1791		['a1[cH1]c([O,S;D1])[cH1]ac([O,S;D1])1']
oxime	Linkage = 'HIGH' (PRI = 1.46, PSI = 4.38)	[$(C=N[O;D1]);!$(C=[N+])][#6][#6]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1792		['[$(C=N[O;D1]);!$(C=[N+])][#6][#6]']
non_ring_CH2O_acetal	Linkage = 'HIGH' (PRI = 1.47, PSI = 4.18)	[O,N,S;!$(S~O)]!@[CH2]!@[O,S,N;!$(S~O)]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1793		['[O,N,S;!$(S~O)]!@[CH2]!@[O,S,N;!$(S~O)]']
hydrazine	Linkage = 'HIGH' (PRI = 1.51, PSI = 4.72)	[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1794		['[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]']
isonitrile	Linkage = 'HIGH' (PRI = 1.52, PSI = 5.71)	[N+]#[C-]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1795		['[N+]#[C-]']
sulfite_sulfate_ester	Linkage = 'HIGH' (PRI = 1.52, PSI = 4.69)	[C,c]OS(=O)O[C,c]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1796		['[C,c]OS(=O)O[C,c]']
aziridine_diazirine	Linkage = 'HIGH' (PRI = 1.54, PSI = 4.22)	[C,N]1~[C,N]~N~1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1797		['[C,N]1~[C,N]~N~1']
gte_3_COOH	Linkage = 'HIGH' (PRI = 1.54, PSI = 5.02)	C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1798		['C(=O)[O;D1].C(=O)[O;D1].C(=O)[O;D1]']
acyl_134_triazole	Linkage = 'HIGH' (PRI = 1.55, PSI = 4.95)	[#7]1=,:[#6]-,:[#7](-C(=O)[H,!N])-,:[#6]=,:[#7]1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1799		['[#7]1=,:[#6]-,:[#7](-C(=O)[H,!N])-,:[#6]=,:[#7]1']
trifluoromethyl_ketone	Linkage = 'HIGH' (PRI = 1.55, PSI = 3.74)	[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(F)(F)(F)	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1800		['[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(F)(F)(F)']
para_nitrophenyl_ester	Linkage = 'HIGH' (PRI = 1.57, PSI = 3.24)	c1(-O(-[C;!R](-[H,!N])(=[O,N;!R])))ccc([$(N(=O)(=O)),$([N+](=O)[O-])])cc1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1801		['c1(-O(-[C;!R](-[H,!N])(=[O,N;!R])))ccc([$(N(=O)(=O)),$([N+](=O)[O-])])cc1']
phosphorus_sulfur_bond	Linkage = 'HIGH' (PRI = 1.59, PSI = 5.22)	P~S	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1802		['P~S']
polyene	Linkage = 'HIGH' (PRI = 1.6, PSI = 4.75)	C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1803		['C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R]']
thiocarbonate	Linkage = 'HIGH' (PRI = 1.6, PSI = 4.59)	SC(=O)[O,S]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1804		['SC(=O)[O,S]']
azo_amino	Linkage = 'HIGH' (PRI = 1.62, PSI = 4.74)	[N]=[N;!R]-[N]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1806		['[N]=[N;!R]-[N]']
secondary_halide_sulfate	Linkage = 'HIGH' (PRI = 1.62, PSI = 4.28)	[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1807		['[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]']
nitrone	Linkage = 'HIGH' (PRI = 1.63, PSI = 4.11)	[C;!R]=[N+][O;D1]	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1808		['[C;!R]=[N+][O;D1]']
trisub_bis_act_olefin	Linkage = 'HIGH' (PRI = 1.63, PSI = 4.5)	[CH&!R;!$(C-N)]=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1809		['[CH&!R;!$(C-N)]=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])']
